John Wick, Keanu Reeves, , Action:Thriller
The Equalizer, Denzel Washington, Chloe Grace Moretz, Action:Thriller
The Conjuring 2, Patrick Wilson, Vera Farmiga, Horror:Mystery:Thriller
Pacific Rim, Sci-Fi, Charlie Hunnam, Rinko Kikuchi, Action:Adventure
Mr. and Mrs. Smith, Brad Pitt, Angelina Jolie, Action:Comedy
The Mummy, Brendan Fraser, Rachel Weisz, Action:Adventure:Fantasy
Krampus, Emjay Anthony, , Comedy:Fantasy:Horror
Sword Art Online Ordinal Scale, Yoshitsugu Matsuoka, Haruka Tomatsu, Animation:Action:Adventure
Wall-E, Ben Burtt, Elissa Knight, Animation:Adventure
Yes Man, Jim Carrey, Zooey Deschanel, Comedy:
Independence Day, Will Smith, , Sci-fi:
Without A Paddle, Seth Green, , Comedy:
The Langoliers, David Morse, , Sci-fi:
Pet Sematary, Miko Hughes, , Fantasy:
This Is the End, James Franco, , Comedy:
The Color of Friendship, , Lindsey Haun, Comedy:Drama
Harry Potter and the Sorcerer's Stone, Daniel Radcliffe, Emma Watson, Adventure:Fantasy
Harry Potter and the Chamber of Secrets, Daniel Radcliffe, Emma Watson, Adventure:Fantasy
Kung Fu Panda, Jack Black, Angelina Jolie, Animation:
Deadpool, Ryan Reynolds, Morena Baccarin, Adventure:
10 Cloverfield Lane, John Goodman, Mary Elizabeth Winstead, Thriller:
Spy, Jude Law, Melissa McCarthy, Comedy:
Beauty and the Beast, Dan Stevens, Emma Watson, Romance:
The Lego Batman, Will Arnett, Rosario Dawson, Fantasy:
Logan, Hugh Jackman, Dafne Keen, Drama:
Bob The Butler, Tom Green, Brooke Shields, Comedy:Drama
Midnight in Paris, Owen Wilson, Marion Cotillard, Comedy:Romance
Star Wars The Phantom Menace, Liam Neeson, Natalie Portman, Sci-fi:Fantasy:Adventure
Arrival, Jeremy Renner, Amy Adams, Drama:Mystery:Sci-fi
Zootopia, Jason Bateman, Ginnifer Goodwin, Animation:Comedy:Adventure
Food Fight, Charlie Sheen, Hilary Duff, Animation:Action:Comedy:Fantasy
Shrek Forever After, Mike Myers, Cameron Diaz, Animation:Adventure:Comedy:Fantasy
Star Wars Holiday Special, Mark Hamill, Carrie Fisher, Adventure:Sci-Fi
Masters of the Universe, Dolph Lundgren, , Action:Adventure:Fantasy:Sci-Fi:Thriller
Guardians of the Galaxy, Chris Pratt, Zoe Saldana, Action:Adventure:Sci-Fi
Harry Potter and the Prisoner of Azkaban, Daniel Radcliffe, Emma Watson, Adventure:Fantasy
Harry Potter and the Goblet of Fire, Daniel Radcliffe, Emma Watson, Adventure:Fantasy
Harry Potter and the Order of the Phoenix, Daniel Radcliffe, Emma Watson, Adventure:Fantasy
Gravity, George Clooney, Sandra Bullock, Adventure:Drama:Sci-Fi:Thriller
District 9, Sharlto Copley, Nathalie Boltt, Action:Sci-Fi:Thriller
The Man from Earth, David Lee Smith, , Sci-fi:Fantasy
The Lord of the Rings, Elijah Wood, Liv Tyler, Adventure:Fantasy:Drama
The Bourne Ultimatum, Matt Damon, , Adventure:Drama
Slumdog Millionaire, Dev Patel, Janeva Talwar, Drama:
Elysium, Matt Damon, Jodie Foster, Action:Sci-Fi:Drama
Prometheus, Michael Fassbender, Noomi Rapace, Adventure:Sci-Fi:Mystery
UP, Edward Asner, , Animation:Adventure:Comedy
Star Wars Rogue One, Diego Luna, Felicity Jones, Action:Adventure:Sci-Fi
